P;0001;;;7;;;;;;;19.90;24.70;22.80;21.44;-9999.00;30.71;0;;;;;;32.20;28.90;21.88;23.94;0.00;0.00;0.00;0.00;21.63;-1000.00;-125.993;-69.454;0;;;;1.958;0.813;0.802;0.829;0.812
R;0001;;01;38;103.47;0.00;;;;;21.10;26.50;23.00;21.36;-9999.00;66.99;1399;3281.32;;;;;32.50;29.00;22.78;23.94;0.00;100.00;100.00;80.00;21.86;-1000.00;-125.993;-69.454;30;3281.32;74.90;5
M;0001;001;01;40;1.67;0.00;2.04;0.00;-0.67;0.00;21.20;26.70;23.00;21.35;-9999.00;68.02;1400;;;;;;32.60;29.00;22.78;23.94;0.00;100.00;100.00;80.00;21.89;-1000.00;-104.033;-69.940;32;3251.66;74.96;5
M;0001;002;01;41;2.02;0.00;2.46;0.00;-2.30;0.00;21.40;26.90;23.00;21.35;-9999.00;68.47;1400;;;;;;32.60;29.10;22.81;23.94;0.00;100.00;100.00;80.00;21.91;-1000.00;-91.019;-69.940;32;3222.42;74.93;5
M;0001;003;01;42;1.70;0.00;2.07;0.00;-3.43;0.00;21.50;27.10;23.00;21.34;-9999.00;68.89;1400;;;;;;32.60;29.10;22.75;23.94;0.00;100.00;100.00;80.00;21.94;-1000.00;-78.021;-69.940;32;3243.01;75.02;5
M;0001;004;01;43;1.73;0.00;2.11;0.00;-0.41;0.00;21.50;27.10;23.00;21.33;-9999.00;69.28;1400;;;;;;32.60;29.10;22.75;23.94;0.00;100.00;100.00;80.00;21.96;-1000.00;-65.031;-69.948;32;3369.79;74.94;5
M;0001;005;01;45;1.71;0.00;2.08;0.00;-1.95;0.00;21.70;27.20;23.00;21.33;-9999.00;69.98;1400;;;;;;32.60;29.10;22.81;23.94;0.00;100.00;100.00;80.00;22.03;-1000.00;-52.024;-69.948;32;3302.65;74.95;5
M;0001;006;01;46;1.68;0.00;2.05;0.00;-0.39;0.00;21.70;27.20;23.00;21.33;-9999.00;70.29;1399;;;;;;32.60;29.10;22.81;23.88;0.00;100.00;100.00;80.00;22.05;-1000.00;-39.026;-69.940;32;3279.53;74.98;5
M;0001;007;01;47;2.15;0.00;2.62;0.00;-0.31;0.00;21.90;27.40;23.10;21.32;-9999.00;70.61;1401;;;;;;32.60;29.20;22.81;23.94;0.00;100.00;95.50;80.00;22.08;-1000.00;-26.028;-69.948;32;3349.77;74.95;5
M;0001;008;01;48;1.47;0.00;1.80;0.00;-1.26;0.00;22.00;27.50;23.10;21.32;-9999.00;70.92;1401;;;;;;32.70;29.30;22.72;23.94;0.00;100.00;92.00;80.00;22.11;-1000.00;-13.030;-69.948;32;3359.20;75.00;5
M;0001;009;01;49;1.87;0.00;2.29;0.00;-1.64;0.00;22.00;27.50;23.10;21.31;-9999.00;71.19;1399;;;;;;32.70;29.30;22.72;23.94;0.00;100.00;92.00;80.00;22.14;-1000.00;-13.030;-56.933;32;3319.55;74.99;5
M;0001;010;01;51;1.72;0.00;2.10;0.00;-1.16;0.00;22.20;27.70;23.10;21.30;-9999.00;71.67;1399;;;;;;32.70;29.30;22.84;23.94;0.00;100.00;88.50;80.00;22.20;-1000.00;-26.004;-56.973;32;3282.75;74.95;5
M;0001;011;01;52;1.76;0.00;2.15;0.00;-2.58;0.00;22.20;27.70;23.10;21.30;-9999.00;71.89;1399;;;;;;32.70;29.30;22.84;23.94;0.00;100.00;88.50;80.00;22.23;-1000.00;-39.002;-56.933;32;3309.38;74.98;5
M;0001;012;01;53;1.57;0.00;1.92;0.00;-1.82;0.00;22.30;27.80;23.10;21.29;-9999.00;72.08;1399;;;;;;32.70;29.30;22.81;23.94;0.00;100.00;83.00;80.00;22.26;-1000.00;-52.000;-56.957;32;3306.04;75.01;5
M;0001;013;01;54;1.89;0.00;2.31;0.00;-0.67;0.00;22.50;28.00;23.10;21.29;-9999.00;72.28;1399;;;;;;32.70;29.40;22.81;23.94;0.00;100.00;79.00;80.00;22.28;-1000.00;-65.007;-56.957;32;3288.66;74.99;5
M;0001;014;01;56;1.71;0.00;2.08;0.00;-0.14;0.00;22.50;28.00;23.10;21.29;-9999.00;72.46;1399;;;;;;32.70;29.40;22.81;23.94;0.00;100.00;79.00;80.00;22.31;-1000.00;-77.997;-56.965;32;3215.68;75.00;5
M;0001;015;01;57;1.73;0.00;2.12;0.00;-1.40;0.00;22.70;28.10;23.10;21.28;-9999.00;72.80;1399;;;;;;32.70;29.40;22.75;23.94;0.00;100.00;74.50;80.00;22.38;-1000.00;-90.995;-56.941;32;3239.67;75.02;5
M;0001;016;01;58;1.75;0.00;2.13;0.00;0.21;0.00;22.80;28.20;23.20;21.27;-9999.00;72.88;1399;;;;;;32.80;29.40;22.81;23.94;0.00;100.00;71.50;80.00;22.41;-1000.00;-104.009;-56.949;32;3143.90;75.00;5
P;0001;;;58;;;;;;;22.80;28.20;23.20;21.27;-9999.00;72.88;1399;;;;;;32.80;29.40;22.81;23.94;0.00;100.00;71.50;80.00;22.41;-1000.00;-104.009;-56.949;32;;;;1.957;0.813;0.801;0.828;0.812
P;0002;;;67;;;;;;;23.50;28.90;23.30;21.23;-9999.00;74.74;1400;;;;;;32.80;29.70;22.81;23.94;0.00;100.00;52.00;80.00;22.73;-1000.00;-126.001;-69.446;32;;;;1.957;0.813;0.801;0.828;0.813
P;0002;;;67;;;;;;;23.50;28.90;23.30;21.23;-9999.00;74.74;1400;;;;;;32.80;29.70;22.81;23.94;0.00;100.00;52.00;80.00;22.73;-1000.00;-126.001;-69.446;0;;;;1.957;0.813;0.801;0.828;0.813
R;0002;;01;98;103.68;0.00;;;;;25.90;29.70;23.80;21.12;-9999.00;73.53;1400;3347.03;;;;;33.20;30.40;22.78;23.94;0.00;100.00;23.00;80.00;24.07;-1000.00;-126.001;-69.462;30;3347.03;75.02;5
M;0002;001;01;99;1.82;0.00;2.22;0.00;0.16;0.00;25.90;29.70;23.80;21.11;-9999.00;73.35;1398;;;;;;33.20;30.50;22.84;23.94;0.00;100.00;23.00;80.00;24.15;-1000.00;-104.033;-69.940;32;3355.11;74.96;5
M;0002;002;01;101;1.76;0.00;2.14;0.00;-1.06;0.00;26.00;29.60;23.80;21.11;-9999.00;73.27;1398;;;;;;33.30;30.50;22.78;23.94;0.00;100.00;23.50;80.00;24.20;-1000.00;-91.019;-69.948;32;3289.89;75.04;5
M;0002;003;01;102;1.71;0.00;2.08;0.00;0.48;0.00;26.20;29.60;23.80;21.10;-9999.00;73.18;1399;;;;;;33.30;30.50;22.84;23.94;0.00;100.00;24.00;80.00;24.25;-1000.00;-78.013;-69.948;32;3311.25;75.04;5
M;0002;004;01;103;1.86;0.00;2.26;0.00;-0.23;0.00;26.20;29.60;23.80;21.10;-9999.00;73.12;1399;;;;;;33.30;30.50;22.84;23.94;0.00;100.00;24.00;80.00;24.29;-1000.00;-65.031;-69.948;32;3334.25;75.04;5
M;0002;005;01;104;1.60;0.00;1.95;0.00;-2.51;0.00;26.30;29.60;23.90;21.09;-9999.00;72.90;1399;;;;;;33.30;30.60;22.88;23.94;0.00;100.00;25.00;80.00;24.38;-1000.00;-52.024;-69.948;32;3360.97;75.06;5
M;0002;006;01;106;1.65;0.00;2.01;0.00;-0.77;0.00;26.30;29.60;23.90;21.09;-9999.00;72.78;1399;;;;;;33.30;30.60;22.88;23.94;0.00;100.00;25.00;80.00;24.43;-1000.00;-39.026;-69.940;32;3364.99;75.05;5
M;0002;007;01;107;2.16;0.00;2.63;0.00;-0.78;0.00;26.50;29.60;23.90;21.08;-9999.00;72.73;1399;;;;;;33.30;30.60;22.81;23.94;0.00;100.00;27.00;80.00;24.48;-1000.00;-26.028;-69.948;32;3326.43;75.09;5
M;0002;008;01;108;1.63;0.00;1.99;0.00;-1.20;0.00;26.60;29.50;23.90;21.08;-9999.00;72.61;1399;;;;;;33.40;30.60;22.81;23.94;0.00;100.00;28.00;80.00;24.52;-1000.00;-13.030;-69.948;32;3346.80;75.01;5
M;0002;009;01;109;2.04;0.00;2.48;0.00;-0.29;0.00;26.70;29.40;24.00;21.08;-9999.00;72.49;1400;;;;;;33.40;30.60;22.81;23.94;0.00;100.00;31.00;80.00;24.56;-1000.00;-13.030;-56.973;32;3349.32;75.02;5
M;0002;010;01;110;1.78;0.00;2.17;0.00;-2.17;0.00;26.70;29.40;24.00;21.08;-9999.00;72.26;1400;;;;;;33.40;30.70;22.84;23.94;0.00;100.00;31.00;80.00;24.66;-1000.00;-26.004;-56.973;32;3356.61;75.06;5
M;0002;011;01;112;1.77;0.00;2.16;0.00;-0.72;0.00;26.80;29.40;24.00;21.07;-9999.00;72.16;1399;;;;;;33.40;30.70;22.84;23.94;0.00;100.00;32.00;80.00;24.71;-1000.00;-39.002;-56.941;32;3317.12;75.03;5
M;0002;012;01;113;1.54;0.00;1.88;0.00;-0.78;0.00;26.80;29.40;24.00;21.07;-9999.00;72.06;1400;;;;;;33.40;30.80;22.81;23.94;0.00;100.00;32.00;80.00;24.76;-1000.00;-52.000;-56.933;32;3344.36;75.11;5
